"","year","DA","Other Means"
"1",2009,66.8674964494588,33.1325035505412
"2",2010,64.7547434318081,35.2452565681919
"3",2011,65.3284913784797,34.6715086215203
"4",2012,62.8654533677143,37.1345466322857
"5",2013,64.873332942644,35.126667057356
"6",2014,63.3493320289811,36.6506679710189
"7",2015,63.8396984426148,36.1603015573852
"8",2016,63.6958746794074,36.3041253205926
"9",2017,64.8056903046858,35.1943096953142
"10",2018,65.4988286275035,34.5011713724965
